id,name,type,address,year,spot1_title,spot1_detail,spot2_title,spot2_detail,spot3_title,spot3_detail,sites,summary,latitude,longitude,image_url,badge_image_url
1,法隆寺地域の仏教建造物,文化,奈良県,1993,五重塔（ごじゅうのとう）の木組み構造,釘を使わずに木を組み合わせた、高度な大工技術を見ることができます。,金堂（こんどう）の仏像配置,仏像の並び方から、当時の仏教の考え方が伝わってきます。,回廊（かいろう）の柱と屋根,長い年月を経ても残る造りから、建物の丈夫さがわかります。,"法隆寺, 法起寺",法隆寺は、日本に仏教が広まった初期の姿を今に伝える寺院です。現存する木造建築としては世界でもとても古く、当時の建築技術や仏教文化を知る貴重な資料として評価され、世界遺産に登録されました。,34.6141,135.7356,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F1.Horyuji.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_1.jpg?alt=media
2,姫路城,文化,兵庫県,1993,天守（てんしゅ）の白漆喰（しろしっくい）構造,白く美しい外観は、火に強く城を守るための工夫でもあります。,複雑に入り組んだ動線,敵が迷うように道が工夫されており、城の防御の知恵がわかります。,時代ごとに積まれた石垣,場所によって石の積み方が違い、城が長い時間使われてきたことが読み取れます。,姫路城,姫路城は、戦の時代を生き抜くための工夫と、平和な時代に大切にされた美しさの両方が残る、日本を代表する城です。昔の人の知恵と技術が今も形として残っていることが評価され、世界遺産に登録されました。,34.8394,134.6939,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F2.Himejijo.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_2.jpg?alt=media
3,屋久島,自然,鹿児島県,1993,屋久杉（やくすぎ）,何千年も生きてきた大きな杉の木から、自然の力強さを感じられます。,苔（こけ）むした森,湿度の高い環境で育った苔が広がり、幻想的な景色が見られます。,海から山までの自然,短い距離で多様な自然が見られ、屋久島ならではの環境を体感できます。,"屋久島（島の中央部, 西部海岸）",屋久島は、長い時間をかけて育った森と、特別な自然環境が残る島です。独自の生態系と、人の手があまり入っていない自然の姿が世界的に貴重とされ、世界遺産に登録されました。,30.3601,130.5111,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F3.Yakushima.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_3.jpg?alt=media
4,白神山地,自然,青森県,1993,ブナの原生林,長い年月、人の手が加わらずに育った広大な森を体感できます。,多様な動植物,クマやカモシカなど、森に生きる多くの生き物が共存しています。,自然そのままの川や沢,人工物がほとんどない、透明度の高い水の流れが見られます。,白神山地（中心部）,白神山地（しらかみさんち）は、人の手がほとんど入っていない広大なブナの原生林が残る山地です。自然のままの森の姿が守られており、生き物たちが長い時間をかけて作ってきた生態系が高く評価され、世界遺産に登録されました。,40.48,140.12,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F4.Shirakamisanti.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_4.jpg?alt=media
5,古都京都の文化財（京都市、宇治市、大津市）,文化,京都府,1994,金閣寺・銀閣寺,時代ごとの美しさや考え方の違いが建物に表れています。,日本庭園,自然を小さな空間に表現する、日本独自の庭づくりが見られます。,寺院と町のつながり,建物だけでなく、町全体に歴史が息づいています。,"賀茂別雷神社（上賀茂神社）, 賀茂御祖神社（下鴨神社）, 教王護国寺（東寺）, 清水寺, 延暦寺, 醍醐寺, 仁和寺, 平等院, 宇治上神社, 高山寺, 西芳寺（苔寺）, 天龍寺, 鹿苑寺（金閣寺）, 慈照寺（銀閣寺）, 龍安寺, 本願寺（西本願寺）, 二条城",古都京都の文化財は、長い間日本の都として栄えた京都に残る寺社や庭園などをまとめた世界遺産です。日本の宗教、文化、美意識が集まった場所として、世界的に価値があると認められました。,35.0394,135.7292,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F5.Kyoto.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_5.jpg?alt=media
6,白川郷・五箇山の合掌造り集落,文化,岐阜県,1995,合掌造り（がっしょうづくり）の家,雪が落ちやすい、三角形の大きな屋根が特徴です。,集落全体の景観,家々が集まって、昔の暮らしの姿をそのまま残しています。,人と自然の共存,自然の厳しさに合わせた生活の工夫が見られます。,"荻町集落, 相倉集落, 菅沼集落",白川郷・五箇山（しらかわごう・ごかやま）は、厳しい雪の多い環境の中で生まれた独特な家屋と暮らしが残る集落です。自然と共に生きる人々の知恵が今も受け継がれている点が評価され、世界遺産に登録されました。,36.2564,136.906,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F6.Shirakawago.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_6.jpg?alt=media
7,原爆ドーム,文化,広島県,1996,爆心地近くで残った建物,大きな被害を受けながらも、形をとどめています。,壊れたまま保存された姿,当時の被害の大きさを実感できます。,平和へのメッセージ,二度と同じ悲劇を繰り返さないための記念碑です。,原爆ドーム,原爆ドームは、1945年に投下された原子爆弾の被害を今に伝える建物です。戦争の悲惨さと、平和の大切さを世界に伝える象徴として、世界遺産に登録されました。,34.3947,132.4547,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F7.Genbakudome.JPG?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_7.jpg?alt=media&token
8,厳島神社,文化,広島県,1996,海に浮かぶ社殿（しゃでん）,潮の満ち引きによって、見え方が変わります。,大鳥居（おおとりい）,遠くからでも目立つ、厳島神社の象徴です。,自然を神聖視（しんせいし）する考え方,島全体を神の場所として大切にしています。,厳島神社,厳島神社（いつくしまじんじゃ）は、海の上に建てられた珍しい神社で、自然と建築が一体となった景観が特徴です。日本の自然観や信仰の形をよく表しているとして、世界遺産に登録されました。,34.296,132.3199,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F8.Itsukushimashrine.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_8.jpg?alt=media&token
9,古都奈良の文化財,文化,奈良県,1998,東大寺（とうだいじ）の大仏,当時の国の力を示す、巨大な仏像です。,法隆寺（ほうりゅうじ）の建築,現存する世界最古級の木造建築が残っています。,奈良の町並み,自然と歴史が調和した景観が広がります。,"東大寺, 興福寺, 春日大社, 春日山原始林, 元興寺, 薬師寺, 唐招提寺, 平城宮跡",古都奈良の文化財は、日本で最初の本格的な都に建てられた寺院や建物を中心とした世界遺産です。日本の政治や仏教文化の始まりを今に伝える点が評価されています。,34.689,135.8328,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F9.Nara.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_9.jpg?alt=media&token
10,日光の社寺,文化,栃木県,1999,日光東照宮（にっこうとうしょうぐう）の彫刻,動物や人物を細かく表現した装飾が特徴です。,自然と一体になった配置,山や森と調和するように建てられています。,色鮮やかな建築,他の神社とは違う、豪華なデザインが目を引きます。,"二荒山神社, 東照宮, 輪王寺",日光の社寺（しゃじ）は、自然豊かな山の中に建てられた華やかな神社と寺院の集まりです。高い技術と装飾美、そして信仰の場所としての価値が認められ、世界遺産に登録されました。,36.7581,139.5989,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F10.Nikko.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_10.jpg?alt=media&token
11,琉球王国のグスク及び関連遺産群,文化,沖縄県,2000,首里城跡（しゅりじょうあと）,琉球王国の中心だった城で、政治と文化の拠点だったことがわかります。,石造りの城壁,曲線を描く石積みが特徴で、沖縄ならではの城づくりを見ることができます。,御嶽（うたき）,自然の中にある祈りの場所で、琉球の信仰文化を感じられます。,"今帰仁城跡, 座喜味城跡, 勝連城跡, 中城城跡, 首里城跡, 園比屋武御嶽石門, 玉陵, 識名園, 斎場御嶽",琉球王国のグスク（城）や聖地は、沖縄独自の歴史と文化を今に伝える貴重な遺産です。日本本土とは異なる政治や信仰の形があったことを示しており、その独自性が評価され、世界遺産に登録されました。,26.217,127.7194,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F11.Ryukyu_Shuricastle.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_11.jpg?alt=media&token
12,紀伊山地の霊場と参詣道,文化,三重県,2004,熊野古道（くまのこどう）,昔の人が歩いた参拝の道が今も残っています。,那智の滝（なちのたき）,自然そのものを神として大切にしてきた信仰を感じられます。,高野山（こうやさん）,仏教の修行の場として発展した、静かな山の寺院群です。,"吉野・大峯, 熊野三山, 高野山, 参詣道（熊野参詣道, 大峯奥駈道, 高野山町石道）",紀伊山地（きいさんち）は、古くから信仰の山として人々が祈りを捧げてきた場所です。山の中に点在する寺社と、そこへ続く参詣道（さんけいみち）が、自然と信仰が深く結びついた文化として評価され、世界遺産に登録されました。,33.84,135.77,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F12.Kii.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_12.jpg?alt=media&token
13,知床,自然,北海道,2005,野生動物,クマやシカなどが自然の中で生活しています。,海と森のつながり,山の栄養が海に流れ、豊かな自然を作っています。,流氷（りゅうひょう）の景色,冬には流氷が見られ、特別な自然を体験できます。,知床（陸域および海域）,知床（しれとこ）は、北海道の東にある自然豊かな地域です。海と森がつながり、動物たちが自然のままに暮らしている貴重な場所です。人の手がほとんど入っていない自然環境が高く評価され、世界遺産に登録されました。,44.1167,145,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F13.Shiretoko.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_13.jpg?alt=media&token
14,石見銀山遺跡とその文化的景観,文化,島根県,2007,銀山の坑道跡（ぎんざんのこうどうあと）,人が手で掘った坑道から、当時の作業の大変さが伝わります。,大森の町並み,鉱山で働く人たちが暮らした町の様子が残っています。,港へ続く道,銀を運ぶために使われた道から、当時の流通の様子がわかります。,"銀山柵内, 代官所跡, 矢滝城跡, 矢筈城跡, 石見城跡, 大森銀山, 鞆ヶ浦, 沖泊, 温泉津, 温泉津沖泊道, 鞆ヶ浦道, 仙ノ山",石見銀山（いわみぎんざん）は、昔の日本で重要な銀の産地でした。銀の採掘だけでなく、町や街道、港まで含めた産業のしくみ全体がよく残っていることが評価され、世界遺産に登録されました。,35.1017,132.4358,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F14.IwamiGinzan.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_14.jpg?alt=media&token
15,小笠原諸島,自然,東京都,2011,固有の動植物,ここでしか見られない生き物が多く暮らしています。,透明度の高い海,サンゴや魚が見える美しい海が広がっています。,手つかずの自然,人の影響が少なく、自然本来の姿を感じられます。,"北ノ島, 聟島, 嫁島, 媒島, 父島, 兄島, 弟島, 西島, 東島, 南島, 母島, 姉島, 妹島, 姪島, 向島, 平島, 智島, 西之島, 南硫黄島, 北硫黄島",小笠原諸島は、大陸とつながったことがなく、独自に進化した生き物が多く生息する島々です。世界でも珍しい生態系が保たれていることから、自然遺産として世界遺産に登録されました。,27.0944,142.1917,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F15.Ogasawara.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_15.jpg?alt=media&token
16,平泉‐仏国土（浄土）を表す建築・庭園及び考古学的遺跡群‐,文化,岩手県,2011,中尊寺金色堂（ちゅうそんじこんじきどう）,金で覆われたお堂から、当時の強い信仰心が感じられます。,浄土庭園,池や島で仏の世界を表した庭園を見ることができます。,遺跡が残る町並み,建物跡から、かつての大きな都市の姿が想像できます。,"中尊寺, 毛越寺, 観自在王院跡, 無量光院跡, 金鶏山",平泉は、仏教の理想の世界「浄土」を地上で表そうとした町です。建物や庭園を通して、人々が平和な世界を願った気持ちが伝わることから、世界遺産に登録されました。,38.9918,141.1075,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F16.Hiraizumi.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_16.jpg?alt=media&token
17,富士山‐信仰の対象と芸術の源泉‐,文化,山梨県,2013,信仰の場としての富士山。,山そのものを神聖な存在としてあがめ、登拝（山に登って祈ること）が行われてきました。,富士山を描いた芸術作品,浮世絵や絵画など、富士山を題材にした作品が国内外に広く知られています。,周辺の文化的景観,浅間神社や登山道など、信仰とともに形づくられた場所を見ることができます。,"富士山域（山頂遺跡群, 大宮・村山口登山道, 須山口登山道, 須走口登山道, 吉田口登山道, 北口本宮富士浅間神社）, 富士山本宮浅間大社, 山宮浅間神社, 村山浅間神社, 須山浅間神社, 冨士浅間神社（須走浅間神社）, 河口浅間神社, 冨士御室浅間神社, 御師住宅（旧外川家住宅, 小佐野家住宅）, 山中湖, 河口湖, 本栖湖, 精進湖, 西湖, 忍野八海, 船津胎内樹型, 吉田胎内樹型, 人穴富士講遺跡, 白糸ノ滝, 三保松原",富士山は、日本一高い山として古くから人々の信仰の対象となり、絵画や文学など多くの芸術作品にも影響を与えてきました。自然の美しさだけでなく、人々の信仰や文化と深く結びついてきた点が評価され、世界遺産に登録されました。,35.3606,138.7274,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F17.MtFuji.jpeg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_17.jpg?alt=media&token
18,富岡製糸場と絹産業遺産群,文化,群馬県,2014,大きなれんが造りの工場,当時としては珍しい近代的な建物で、工業化の始まりを感じられます。,製糸の機械と作業空間,実際に使われていた機械や、働く人の様子を知ることができます。,絹産業を支えた関連施設,工場だけでなく、養蚕（ようさん）や技術指導に関わる施設も含めて保存されています。,"富岡製糸場, 田島弥平旧宅, 高山社跡, 荒船風穴",富岡製糸場は、日本が近代化を進める中でつくられた大規模な製糸工場です。西洋の技術を取り入れながら、日本独自の工夫によって絹産業を発展させたことが、世界的に重要と評価され、世界遺産に登録されました。,36.2551,138.8876,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F18.TomiokaSeishi.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_18.jpg?alt=media&token
19,明治日本の産業革命遺産 製鉄・製鋼、造船、石炭産業,文化,福岡,2015,製鉄・製鋼の施設,鉄を大量に作る技術が、日本の産業発展を支えました。,造船の現場,大きな船を造る技術が発展し、海外との交流が広がりました。,石炭産業の跡地,エネルギー源として石炭が使われ、工業化を進める力となりました。,"萩反射炉, 恵美須ヶ鼻造船所跡, 大板山たたら製鉄遺跡, 萩城下町, 松下村塾, 韮山反射炉, 橋野鉄鉱山・高炉跡, 三重津海軍所跡, 小菅修船場跡, 三菱長崎造船所（第三船渠, ジャイアント・カンチレバークレーン, 占勝閣, 竪削盤）, 高島炭鉱, 端島炭鉱, 旧グラバー住宅, 三池炭鉱・三池港, 三角西港, 八幡製鐵所, 遠賀川水源地ポンプ室, 寺山炭窯跡, 関吉の疎水溝, 仙巌園, 旧集成館, 笹貫坑口跡",この遺産は、日本が短い期間で近代国家へと成長する中で、産業の基礎を築いた場所の集まりです。鉄を作り、船を造り、石炭をエネルギーとして使った産業の発展が、日本の近代化を支えたことが評価され、世界遺産に登録されました。,32.7344,129.8544,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F19.Fukuoka.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_19.jpg?alt=media&token
20,ル・コルビュジエの建築作品,文化,東京都,2016,近代建築のデザイン,装飾を減らし、形と機能を重視したシンプルな建築が特徴です。,光と空間の使い方,窓や壁の配置によって、自然光を効果的に取り入れています。,世界各地に残る建築,日本を含む複数の国に建築作品があり、国境を越えた価値を持っています。,国立西洋美術館,ル・コルビュジエの建築作品は、20世紀の建築の考え方を大きく変えた建築群です。世界各地に残るこれらの建物は、「人が暮らしやすい建築とは何か」を追求した結果として高く評価され、世界遺産に登録されました。,35.7154,139.7758,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F20.KokurituSeiyouBijutukan.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_20.jpg?alt=media&token
21,「神宿る島」宗像・沖ノ島と関連遺産群,文化,福岡県,2017,沖ノ島の祭祀遺跡（さいしいせき）,古代の人々が神に祈りをささげた跡が残されています。,宗像大社三宮（むなかたたいしゃさんみや）,沖ノ島・大島・本土に分かれた神社が信仰の広がりを伝えています。,手つかずの自然環境,信仰を守るため、人の立ち入りが厳しく制限されています。,"沖ノ島（宗像大社沖津宮）, 小屋島, 御門島, 天狗岩, 宗像大社中津宮, 宗像大社辺津宮, 新原・奴山古墳群",宗像・沖ノ島（むなかた・おきのしま）は、古代から「神が宿る島」として信仰されてきた特別な場所です。航海の安全を願う祭りが行われてきた歴史があり、その信仰の形がほぼそのまま残っている点が評価され、世界遺産に登録されました。,34.245,130.1031,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F21.Okinoshima.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_21.jpg?alt=media&token
22,長崎と天草地方の潜伏キリシタン関連遺産,文化,長崎県,2018,集落に残る信仰の形,普通の村の中に、信仰を守る工夫が見られます。,教会建築,解禁後に建てられた教会が、信仰の復活を物語っています。,信仰と生活の融合,仏教や神道（しんとう）と結びついた独特の信仰形態が特徴です。,"原城跡, 平戸の聖地と集落, 天草の解剖集落, 外海の出津集落, 外海の大野集落, 黒島の集落, 野崎島の集落跡, 頭ヶ島の集落, 久賀島の集落, 奈留島の江上集落, 五島列島の旧五輪教会堂, 大浦天主堂",この遺産は、キリスト教が禁止されていた時代に、信仰を守り続けた人々の歴史を伝えるものです。厳しい弾圧の中でも信仰を受け継いだ文化が評価され、世界遺産に登録されました。,32.7341,129.8702,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F22.Nagasaki.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_22.jpg?alt=media&token
23,百舌鳥・古市古墳群‐古代日本の墳墓群‐,文化,大阪府,2019,前方後円墳（ぜんぽうこうえんふん）の形,日本独特の形をした巨大な墓が並んでいます。,規模の大きさ,世界でも有数の大きさを持つ古墳が含まれています。,古代の権力構造,古墳の配置や大きさから、当時の社会の仕組みがわかります。,"百舌鳥古墳群（仁徳天皇陵古墳など）, 古市古墳群（応神天皇陵古墳など）",百舌鳥・古市古墳群（もず・ふるいちこふんぐん）は、古代日本の権力者が眠る巨大な墓の集まりです。特に鍵穴のような形をした古墳は、日本独自の文化を示しており、古代国家の成り立ちを知る重要な遺産として世界遺産に登録されました。,34.5644,135.4877,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F23.MozuKofun.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_23.jpg?alt=media&token
24,奄美大島、徳之島、沖縄島北部及び西表島,自然,鹿児島県,2021,亜熱帯の原生林,人の手がほとんど入っていない森が広がり、太古の自然を感じられます。,固有種の生き物,アマミノクロウサギなど、この地域だけに生息する珍しい動物を見ることができます。,川とマングローブ,西表島では、川と海がつながるマングローブ林が広がり、独特の景観を楽しめます。,"奄美大島, 徳之島, 沖縄島北部, 西表島",奄美大島（あまみおおしま）、徳之島、沖縄島北部及び西表島は、長い年月をかけて独自の進化をとげた動植物が多く生息する地域です。他の地域では見られない生き物が多く、自然の多様性と原始的な森の姿が世界的に高く評価され、世界遺産に登録されました。,28.26,129.35,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F24.Iriomote.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_24.jpg?alt=media&token
25,北海道・北東北の縄文遺跡群,文化,北海道,2021,竪穴住居（たてあなじゅうきょ）の跡,地面を掘って作られた住居から、当時の暮らし方がわかります。,土器や装飾品,縄目模様（なわめもよう）の土器や飾りから、縄文人の美意識が感じられます。,集落の配置,墓や住居が計画的に配置されており、社会のしくみを学べます。,"大船遺跡, 垣ノ島遺跡, 北黄金貝塚, 入江貝塚, 高砂貝塚, 三内丸山遺跡, 小牧野遺跡, 大森勝山遺跡, 是川石器時代遺跡, 田小屋野貝塚, 二ツ森貝塚, 御所野遺跡, 大湯環状列石, 伊勢堂岱遺跡, 大平山元遺跡,  tortoise山遺跡",北海道・北東北（きたとうほく）の縄文遺跡群は、約1万年以上前から続いた縄文人の生活を今に伝える遺跡の集まりです。狩りや採集を中心とした平和な暮らしが長く続いた点が世界的にも珍しく、人類の歴史を知る重要な手がかりとして世界遺産に登録されました。,40.8117,140.6978,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F25.Hokkaido.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_25.jpg?alt=media&token
26,佐渡島の金山,文化,新潟県,2024,坑道（こうどう）の跡,人が掘り進めた狭い坑道から、当時の過酷な作業を想像できます。,採掘道具と施設,時代ごとの道具や設備から、技術の進歩を学べます。,鉱山町の跡,鉱山を支えた人々の暮らしがわかる町並みが残っています。,"相川鶴子金銀山, 西三川砂金山",佐渡島（さどがしま）の金山は、江戸時代を中心に日本最大級の金の産地として栄えた鉱山です。手作業から機械化まで、鉱山技術の変化が一体となって残っている点が評価され、世界遺産に登録されました。,38.04,138.2567,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F26.Sadogashima.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_26.jpg?alt=media&token