id,name,type,address,year,latitude,longitude,summary,badge_image_url
1,法隆寺地域の仏教建造物,文化,奈良県,1993,34.6141,135.7356,法隆寺は、日本に仏教が広まった初期の姿を今に伝える寺院です。現存する木造建築としては世界でもとても古く、当時の建築技術や仏教文化を知る貴重な資料として評価され、世界遺産に登録されました。,/static/badges/1.png
2,姫路城,文化,兵庫県,1993,34.8394,134.6939,姫路城は、戦の時代を生き抜くための工夫と、平和な時代に大切にされた美しさの両方が残る、日本を代表する城です。昔の人の知恵と技術が今も形として残っていることが評価され、世界遺産に登録されました。,/static/badges/2.png
3,屋久島,自然,鹿児島県,1993,30.3601,130.5111,屋久島は、長い時間をかけて育った森と、特別な自然環境が残る島です。独自の生態系と、人の手があまり入っていない自然の姿が世界的に貴重とされ、世界遺産に登録されました。,/static/badges/3.png
4,白神山地,自然,青森県,1993,40.48,140.12,白神山地（しらかみさんち）は、人の手がほとんど入っていない広大なブナの原生林が残る山地です。自然のままの森の姿が守られており、生き物たちが長い時間をかけて作ってきた生態系が高く評価され、世界遺産に登録されました。,/static/badges/4.png
5,古都京都の文化財（京都市、宇治市、大津市）,文化,京都府,1994,35.0394,135.7292,古都京都の文化財は、長い間日本の都として栄えた京都に残る寺社や庭園などをまとめた世界遺産です。日本の宗教、文化、美意識が集まった場所として、世界的に価値があると認められました。,/static/badges/5.png
6,白川郷・五箇山の合掌造り集落,文化,岐阜県,1995,36.2564,136.906,白川郷・五箇山（しらかわごう・ごかやま）は、厳しい雪の多い環境の中で生まれた独特な家屋と暮らしが残る集落です。自然と共に生きる人々の知恵が今も受け継がれている点が評価され、世界遺産に登録されました。,/static/badges/6.png
7,原爆ドーム,文化,広島県,1996,34.3947,132.4547,原爆ドームは、1945年に投下された原子爆弾の被害を今に伝える建物です。戦争の悲惨さと、平和の大切さを世界に伝える象徴として、世界遺産に登録されました。,/static/badges/7.png
8,厳島神社,文化,広島県,1996,34.296,132.3199,厳島神社（いつくしまじんじゃ）は、海の上に建てられた珍しい神社で、自然と建築が一体となった景観が特徴です。日本の自然観や信仰の形をよく表しているとして、世界遺産に登録されました。,/static/badges/placeholder.png
9,古都奈良の文化財,文化,奈良県,1998,34.689,135.8328,古都奈良の文化財は、日本で最初の本格的な都に建てられた寺院や建物を中心とした世界遺産です。日本の政治や仏教文化の始まりを今に伝える点が評価されています。,/static/badges/placeholder.png
10,日光の社寺,文化,栃木県,1999,36.7581,139.5989,日光の社寺（しゃじ）は、自然豊かな山の中に建てられた華やかな神社と寺院の集まりです。高い技術と装飾美、そして信仰の場所としての価値が認められ、世界遺産に登録されました。,/static/badges/placeholder.png
11,琉球王国のグスク及び関連遺産群,文化,沖縄県,2000,26.217,127.7194,琉球王国のグスク（城）や聖地は、沖縄独自の歴史と文化を今に伝える貴重な遺産です。日本本土とは異なる政治や信仰の形があったことを示しており、その独自性が評価され、世界遺産に登録されました。,/static/badges/placeholder.png
12,紀伊山地の霊場と参詣道,文化,三重県,2004,33.84,135.77,紀伊山地（きいさんち）は、古くから信仰の山として人々が祈りを捧げてきた場所です。山の中に点在する寺社と、そこへ続く参詣道（さんけいみち）が、自然と信仰が深く結びついた文化として評価され、世界遺産に登録されました。,/static/badges/placeholder.png
13,知床,自然,北海道,2005,44.1167,145,知床（しれとこ）は、北海道の東にある自然豊かな地域です。海と森がつながり、動物たちが自然のままに暮らしている貴重な場所です。人の手がほとんど入っていない自然環境が高く評価され、世界遺産に登録されました。,/static/badges/placeholder.png
14,石見銀山遺跡とその文化的景観,文化,島根県,2007,35.1017,132.4358,石見銀山（いわみぎんざん）は、昔の日本で重要な銀の産地でした。銀の採掘だけでなく、町や街道、港まで含めた産業のしくみ全体がよく残っていることが評価され、世界遺産に登録されました。,/static/badges/placeholder.png
15,小笠原諸島,自然,東京都,2011,27.0944,142.1917,小笠原諸島は、大陸とつながったことがなく、独自に進化した生き物が多く生息する島々です。世界でも珍しい生態系が保たれていることから、自然遺産として世界遺産に登録されました。,/static/badges/placeholder.png
16,平泉‐仏国土（浄土）を表す建築・庭園及び考古学的遺跡群‐,文化,岩手県,2011,38.9918,141.1075,平泉は、仏教の理想の世界「浄土」を地上で表そうとした町です。建物や庭園を通して、人々が平和な世界を願った気持ちが伝わることから、世界遺産に登録されました。,/static/badges/placeholder.png
17,富士山‐信仰の対象と芸術の源泉‐,文化,山梨県,2013,35.3606,138.7274,富士山は、日本一高い山として古くから人々の信仰の対象となり、絵画や文学など多くの芸術作品にも影響を与えてきました。自然の美しさだけでなく、人々の信仰や文化と深く結びついてきた点が評価され、世界遺産に登録されました。,/static/badges/placeholder.png
18,富岡製糸場と絹産業遺産群,文化,群馬県,2014,36.2551,138.8876,富岡製糸場は、日本が近代化を進める中でつくられた大規模な製糸工場です。西洋の技術を取り入れながら、日本独自の工夫によって絹産業を発展させたことが、世界的に重要と評価され、世界遺産に登録されました。,/static/badges/placeholder.png
19,明治日本の産業革命遺産 製鉄・製鋼、造船、石炭産業,文化,福岡,2015,32.7344,129.8544,この遺産は、日本が短い期間で近代国家へと成長する中で、産業の基礎を築いた場所の集まりです。鉄を作り、船を造り、石炭をエネルギーとして使った産業の発展が、日本の近代化を支えたことが評価され、世界遺産に登録されました。,/static/badges/placeholder.png
20,ル・コルビュジエの建築作品,文化,東京都,2016,35.7154,139.7758,ル・コルビュジエの建築作品は、20世紀の建築の考え方を大きく変えた建築群です。世界各地に残るこれらの建物は、「人が暮らしやすい建築とは何か」を追求した結果として高く評価され、世界遺産に登録されました。,/static/badges/placeholder.png
21,「神宿る島」宗像・沖ノ島と関連遺産群,文化,福岡県,2017,34.245,130.1031,宗像・沖ノ島（むなかた・おきのしま）は、古代から「神が宿る島」として信仰されてきた特別な場所です。航海の安全を願う祭りが行われてきた歴史があり、その信仰の形がほぼそのまま残っている点が評価され、世界遺産に登録されました。,/static/badges/placeholder.png
22,長崎と天草地方の潜伏キリシタン関連遺産,文化,長崎県,2018,32.7341,129.8702,この遺産は、キリスト教が禁止されていた時代に、信仰を守り続けた人々の歴史を伝えるものです。厳しい弾圧の中でも信仰を受け継いだ文化が評価され、世界遺産に登録されました。,/static/badges/placeholder.png
23,百舌鳥・古市古墳群‐古代日本の墳墓群‐,文化,大阪府,2019,34.5644,135.4877,百舌鳥・古市古墳群（もず・ふるいちこふんぐん）は、古代日本の権力者が眠る巨大な墓の集まりです。特に鍵穴のような形をした古墳は、日本独自の文化を示しており、古代国家の成り立ちを知る重要な遺産として世界遺産に登録されました。,/static/badges/placeholder.png
24,奄美大島、徳之島、沖縄島北部及び西表島,自然,鹿児島県,2021,28.26,129.35,奄美大島（あまみおおしま）、徳之島、沖縄島北部及び西表島は、長い年月をかけて独自の進化をとげた動植物が多く生息する地域です。他の地域では見られない生き物が多く、自然の多様性と原始的な森の姿が世界的に高く評価され、世界遺産に登録されました。,/static/badges/placeholder.png
25,北海道・北東北の縄文遺跡群,文化,北海道,2021,40.8117,140.6978,北海道・北東北（きたとうほく）の縄文遺跡群は、約1万年以上前から続いた縄文人の生活を今に伝える遺跡の集まりです。狩りや採集を中心とした平和な暮らしが長く続いた点が世界的にも珍しく、人類の歴史を知る重要な手がかりとして世界遺産に登録されました。,/static/badges/placeholder.png
26,佐渡島の金山,文化,新潟県,2024,38.04,138.2567,佐渡島（さどがしま）の金山は、江戸時代を中心に日本最大級の金の産地として栄えた鉱山です。手作業から機械化まで、鉱山技術の変化が一体となって残っている点が評価され、世界遺産に登録されました。,/static/badges/placeholder.png